LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK

CPL,Boys U9 Division 1,Cincinnati United CUSE 17B Arsenal,https://system.gotsport.com/org_event/events/43740/schedules?team=3224448
CPL,Boys U9 Division 1,Cincinnati United CUSM 17B AS Roma,https://system.gotsport.com/org_event/events/43740/schedules?team=3223438
CPL,Boys U9 Division 1,Lakota Futbol Club Lakota FC B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3189257
CPL,Boys U9 Division 1,Total Futbol Academy(OH) TFA B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3217838
CPL,Boys U9 Division 1,Cincinnati United CULM 17B Aston Villa,https://system.gotsport.com/org_event/events/43740/schedules?team=3222949
CPL,Boys U9 Division 1,Fairfield Optimist Soccer Club FOSC B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3218908
CPL,Boys U9 Division 1,Academia De Futbol Ole Academia Ole 2017 Black,https://system.gotsport.com/org_event/events/43740/schedules?team=3231693
CPL,Boys U9 Division 1,Cincinnati West CWSC B17 Academy Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3197870
CPL,Boys U9 Division 1,Mercury Mercury B17 Red,https://system.gotsport.com/org_event/events/43740/schedules?team=3224536
CPL,Boys U9 Division 2,Cincinnati United CUSE 17B Barcelona,https://system.gotsport.com/org_event/events/43740/schedules?team=3224451
CPL,Boys U9 Division 2,FC Storm FC Storm B17 Loveland Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3162432
CPL,Boys U9 Division 2,Cincinnati United CUSM 17B Bologna,https://system.gotsport.com/org_event/events/43740/schedules?team=3223361
CPL,Boys U9 Division 2,Madeira FC Madeira FC B2017 Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3177762
CPL,Boys U9 Division 2,Cincinnati Elite FC Cincinnati Elite FC B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3219064
CPL,Boys U9 Division 2,FC Dayton FC Dayton B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3195834
CPL,Boys U9 Division 2,Cincy SC Cincy SC B17 Elite,https://system.gotsport.com/org_event/events/43740/schedules?team=3192418
CPL,Boys U9 Division 2,Cincinnati United CULM 17B Bournemouth,https://system.gotsport.com/org_event/events/43740/schedules?team=3222961
CPL,Boys U9 Division 3,STAR Rush Cincinnati STAR Rush B2017 Blue,https://system.gotsport.com/org_event/events/43740/schedules?team=3220012
CPL,Boys U9 Division 3,Cincinnati United CUSE 17B Chelsea,https://system.gotsport.com/org_event/events/43740/schedules?team=3224454
CPL,Boys U9 Division 3,FC Storm FC Storm B17 IH Orange,https://system.gotsport.com/org_event/events/43740/schedules?team=3162469
CPL,Boys U9 Division 3,Kings Hammer Soccer Club KHJR NKY B17-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3179546
CPL,Boys U9 Division 3,Cincinnati United CUSM 17B Cagliari,https://system.gotsport.com/org_event/events/43740/schedules?team=3223369
CPL,Boys U9 Division 3,Kings Hammer Soccer Club KHJR CINCY B17-1,https://system.gotsport.com/org_event/events/43740/schedules?team=3184011
CPL,Boys U9 Division 4,Kings Hammer Soccer Club KHJR CINCY B17-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3184006
CPL,Boys U9 Division 4,Lakota Futbol Club Lakota FC B17 Gray,https://system.gotsport.com/org_event/events/43740/schedules?team=3198789
CPL,Boys U9 Division 4,Total Futbol Academy(OH) TFA B17 Premier,https://system.gotsport.com/org_event/events/43740/schedules?team=3215481
CPL,Boys U9 Division 4,Cincy SC Cincy SC B17 Navy,https://system.gotsport.com/org_event/events/43740/schedules?team=3192416
CPL,Boys U9 Division 4,Kings Hammer Soccer Club KHJR NKY B17-2,https://system.gotsport.com/org_event/events/43740/schedules?team=3179549
CPL,Boys U9 Division 4,Cincinnati United CUSE 17B Dortmund,https://system.gotsport.com/org_event/events/43740/schedules?team=3224457
