LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK

CPL,Boys U8 Division 1,Lakota Futbol Club Lakota FC B18/19 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4171575
CPL,Boys U8 Division 1,Cincy SC Cincy SC B18-19 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4188080
CPL,Boys U8 Division 1,Mercury Mercury B2018/19 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4191821
CPL,Boys U8 Division 1,Madeira FC Madeira FC BU8 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4175465
CPL,Boys U8 Division 1,Cincy Galaxy SC Cincy Galaxy U8B Academy,https://system.gotsport.com/org_event/events/55642/schedules?team=4191862
CPL,Boys U8 Division 2,Cincinnati West CWSC BU7/U8 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4139229
CPL,Boys U8 Division 2,Oak Hills Youth Athletics Oak Hills Premier Boys U8,https://system.gotsport.com/org_event/events/55642/schedules?team=4189136
CPL,Boys U8 Division 2,Cincy SC Cincy SC B18-19 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4188159
CPL,Boys U8 Division 2,Kolping SC Kolping SC B37 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4191182
CPL,Boys U8 Division 2,Lakota Futbol Club Lakota FC B18/19 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4165787
CPL,Boys U8 Division 2,Mercury B2018/19 West,https://system.gotsport.com/org_event/events/55642/schedules?team=4270378
CPL,Boys U8 Division 2,Northwest Cincy Soccer Coalition Northwest Cincy SC B18/19,https://system.gotsport.com/org_event/events/55642/schedules?team=4190287
CPL,Boys U8 Division 1,Lakota Futbol Club Lakota FC B18/19 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4171575
CPL,Boys U8 Division 1,Cincy SC Cincy SC B18-19 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4188080
CPL,Boys U8 Division 1,Mercury Mercury B2018/19 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4191821
CPL,Boys U8 Division 1,Madeira FC Madeira FC BU8 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4175465
CPL,Boys U8 Division 1,Cincy Galaxy SC Cincy Galaxy U8B Academy,https://system.gotsport.com/org_event/events/55642/schedules?team=4191862
CPL,Boys U8 Division 2,Cincinnati West CWSC BU7/U8 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4139229
CPL,Boys U8 Division 2,Oak Hills Youth Athletics Oak Hills Premier Boys U8,https://system.gotsport.com/org_event/events/55642/schedules?team=4189136
