LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK,CLUB
CPL,Boys U8 Division 1,Lakota FC B18/19 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4171575,Lakota FC
CPL,Boys U8 Division 1,Cincy SC B18-19 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4188080,Cincy SC
CPL,Boys U8 Division 1,Mercury B2018/19 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4191821,Mercury Soccer
CPL,Boys U8 Division 1,Madeira FC BU8 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4175465,Madeira FC
CPL,Boys U8 Division 1,Cincy Galaxy U8B Academy,https://system.gotsport.com/org_event/events/55642/schedules?team=4191862,Cincy Galaxy
CPL,Boys U8 Division 2,Cincinnati West BU7/U8 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4139229,Cincinnati West Soccer Club
CPL,Boys U8 Division 2,Oak Hills Premier Boys U8,https://system.gotsport.com/org_event/events/55642/schedules?team=4189136,Oak Hills Youth Athletics
CPL,Boys U8 Division 2,Cincy SC B18-19 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4188159,Cincy SC
CPL,Boys U8 Division 2,Kolping SC B37 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4191182,Kolping
CPL,Boys U8 Division 2,Lakota FC B18/19 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4165787,Lakota FC
CPL,Boys U8 Division 2,Mercury B2018/19 West,https://system.gotsport.com/org_event/events/55642/schedules?team=4270378,Mercury Soccer
CPL,Boys U8 Division 2,Northwest Cincy SC B18/19,https://system.gotsport.com/org_event/events/55642/schedules?team=4190287,Northwest Cincy Soccer Coalition
CPL,Boys U9 Division 1,Mercury Westside FC 2017/2018,https://system.gotsport.com/org_event/events/55642/schedules?team=4079944,Mercury Soccer
CPL,Boys U9 Division 1,Kings Hammer NKY BU9 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4137790,Kings Hammer
CPL,Boys U9 Division 1,Cincinnati United BU9 North LM Aston Villa,https://system.gotsport.com/org_event/events/55642/schedules?team=4159764,Cincinnati United
CPL,Boys U9 Division 1,Cincinnati United BU9 North SM Aberdeen,https://system.gotsport.com/org_event/events/55642/schedules?team=4159736,Cincinnati United
CPL,Boys U9 Division 1,Cincinnati United BU9 South Argentinos Jrs,https://system.gotsport.com/org_event/events/55642/schedules?team=4192067,Cincinnati United
CPL,Boys U9 Division 1,FC Storm BU9 Loveland Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4161047,FC Storm
