LEAGUE,DIVISION_NAME,LINK_URL
CPL,Boys U8 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=522987
CPL,Boys U8 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=522988
CPL,Boys U8 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=522987
CPL,Boys U8 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=522988
CPL,Boys U9 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510702
CPL,Boys U9 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510708
CPL,Boys U9 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510709
CPL,Boys U9 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510703
CPL,Boys U9 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510707
CPL,Boys U9 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510711
CPL,Boys U9 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510710
CPL,Boys U9 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510704
CPL,Boys U9 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510705
CPL,Boys U9 Division 10,https://system.gotsport.com/org_event/events/55642/schedules?group=510706
CPL,Boys U9 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510702
CPL,Boys U9 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510708
CPL,Boys U9 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510709
CPL,Boys U9 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510703
CPL,Boys U9 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510707
CPL,Boys U9 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510711
CPL,Boys U9 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510710
CPL,Boys U9 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510704
CPL,Boys U9 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510705
CPL,Boys U9 Division 10,https://system.gotsport.com/org_event/events/55642/schedules?group=510706
CPL,Boys U10 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510720
CPL,Boys U10 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510721
CPL,Boys U10 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510726
CPL,Boys U10 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510728
CPL,Boys U10 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510724
CPL,Boys U10 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510725
CPL,Boys U10 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510729
CPL,Boys U10 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510723
CPL,Boys U10 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510727
CPL,Boys U10 Division 10,https://system.gotsport.com/org_event/events/55642/schedules?group=510722
CPL,Boys U10 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510720
CPL,Boys U10 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510721
CPL,Boys U10 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510726
CPL,Boys U10 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510728
CPL,Boys U10 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510724
CPL,Boys U10 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510725
CPL,Boys U10 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510729
CPL,Boys U10 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510723
CPL,Boys U10 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510727
CPL,Boys U10 Division 10,https://system.gotsport.com/org_event/events/55642/schedules?group=510722
CPL,Boys U11 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510739
CPL,Boys U11 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510745
CPL,Boys U11 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510743
CPL,Boys U11 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510740
CPL,Boys U11 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510742
CPL,Boys U11 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510741
CPL,Boys U11 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510738
CPL,Boys U11 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510744
CPL,Boys U11 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510739
CPL,Boys U11 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510745
CPL,Boys U11 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510743
CPL,Boys U11 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510740
CPL,Boys U11 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510742
CPL,Boys U11 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510741
CPL,Boys U11 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510738
CPL,Boys U11 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510744
CPL,Boys U12 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510759
CPL,Boys U12 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510752
CPL,Boys U12 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510753
CPL,Boys U12 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510754
CPL,Boys U12 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510755
CPL,Boys U12 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510756
CPL,Boys U12 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510758
CPL,Boys U12 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510759
CPL,Boys U12 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510752
CPL,Boys U12 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510753
CPL,Boys U12 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510754
CPL,Boys U12 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510755
CPL,Boys U12 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510756
CPL,Boys U12 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510758
CPL,Boys U13 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510764
CPL,Boys U13 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510766
CPL,Boys U13 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510767
CPL,Boys U13 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510765
CPL,Boys U13 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510768
CPL,Boys U13 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510764
CPL,Boys U13 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510766
CPL,Boys U13 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510767
CPL,Boys U13 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510765
CPL,Boys U13 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510768
CPL,Boys U14 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510771
CPL,Boys U14 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510772
CPL,Boys U14 DIVISION 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510773
CPL,Boys U14 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=522994
CPL,Boys U14 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510771
CPL,Boys U14 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510772
CPL,Boys U14 DIVISION 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510773
CPL,Boys U14 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=522994
CPL,Boys U15/16 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510774
CPL,Boys U15/16 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510774
CPL,Girls U8 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=523151
CPL,Girls U8 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=523151
CPL,Girls U9 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510696
CPL,Girls U9 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510694
CPL,Girls U9 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510695
CPL,Girls U9 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510697
CPL,Girls U9 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510700
CPL,Girls U9 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510701
CPL,Girls U9 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510699
CPL,Girls U9 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510698
CPL,Girls U9 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510696
CPL,Girls U9 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510694
CPL,Girls U9 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510695
CPL,Girls U9 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510697
CPL,Girls U9 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510700
CPL,Girls U9 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510701
CPL,Girls U9 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510699
CPL,Girls U9 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=510698
CPL,Girls U10 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510716
CPL,Girls U10 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510712
CPL,Girls U10 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510717
CPL,Girls U10 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510714
CPL,Girls U10 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510718
CPL,Girls U10 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510715
CPL,Girls U10 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510713
CPL,Girls U10 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=523027
CPL,Girls U10 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510719
CPL,Girls U10 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510716
CPL,Girls U10 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510712
CPL,Girls U10 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510717
CPL,Girls U10 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510714
CPL,Girls U10 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510718
CPL,Girls U10 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510715
CPL,Girls U10 Division 7,https://system.gotsport.com/org_event/events/55642/schedules?group=510713
CPL,Girls U10 Division 8,https://system.gotsport.com/org_event/events/55642/schedules?group=523027
CPL,Girls U10 Division 9,https://system.gotsport.com/org_event/events/55642/schedules?group=510719
CPL,Girls U11 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510730
CPL,Girls U11 Division 2,https://system.gotsport.com/org_event/events/55642/schedules?group=510735
CPL,Girls U11 Division 3,https://system.gotsport.com/org_event/events/55642/schedules?group=510731
CPL,Girls U11 Division 4,https://system.gotsport.com/org_event/events/55642/schedules?group=510736
CPL,Girls U11 Division 5,https://system.gotsport.com/org_event/events/55642/schedules?group=510737
CPL,Girls U11 Division 6,https://system.gotsport.com/org_event/events/55642/schedules?group=510732
CPL,Girls U11 Division 1,https://system.gotsport.com/org_event/events/55642/schedules?group=510730
